Label	Type	ID	Database	Comment
XP_001488637.2	GeneProduct	ENSECAG00000015424	Ensembl	
XP_001493912.1	GeneProduct	ENSECAG00000006077	Ensembl	
XP_001917820.1	GeneProduct	ENSECAG00000010315	Ensembl	
XP_001495351.2	GeneProduct	ENSECAG00000024126	Ensembl	
MSH6	GeneProduct	ENSECAG00000005949	Ensembl	
XP_001489268.1	GeneProduct	ENSECAG00000000690	Ensembl	
MSH6	GeneProduct	ENSECAG00000005949	Ensembl	
XP_001491533.1	GeneProduct	ENSECAG00000018322	Ensembl	
XP_001494771.1	GeneProduct	ENSECAG00000013162	Ensembl	
XP_001494771.1	GeneProduct	ENSECAG00000013162	Ensembl	
XP_001504393.1	GeneProduct	ENSECAG00000023886	Ensembl	
XP_001491533.1	GeneProduct	ENSECAG00000018322	Ensembl	
XP_001917820.1	GeneProduct	ENSECAG00000010315	Ensembl	
XP_001494771.1	GeneProduct	ENSECAG00000013162	Ensembl	
