Label	Type	ID	Database	Comment
GOLGA7	GeneProduct	ENSG00000147533	Ensembl	
SFRS9	GeneProduct	ENSG00000111786	Ensembl	
MRPS33	GeneProduct	ENSG00000090263	Ensembl	
HMOX1	GeneProduct	ENSG00000100292	Ensembl	
TMEM59	GeneProduct	ENSG00000116209	Ensembl	
HES1 	GeneProduct	ENSG00000114315	Ensembl	
SMAD1	GeneProduct	ENSG00000170365	Ensembl	
MET	GeneProduct	ENSG00000105976	Ensembl	
NP	GeneProduct	ENSG00000198805	Ensembl	
TPM1	GeneProduct	ENSG00000140416	Ensembl	
GALNT7	GeneProduct	ENSG00000109586	Ensembl	
UBE2J1	GeneProduct	ENSG00000198833	Ensembl	
ATP6V1C1	GeneProduct	ENSG00000155097	Ensembl	
COMMD9	GeneProduct	ENSG00000110442	Ensembl	
RAB34	GeneProduct	ENSG00000109113	Ensembl	
E2F3	GeneProduct	ENSG00000112242	Ensembl	
CBFB	GeneProduct	ENSG00000067955	Ensembl	
TXNRD1	GeneProduct	ENSG00000198431	Ensembl	
PICALM	GeneProduct	ENSG00000073921	Ensembl	
TPM3	GeneProduct	ENSG00000143549	Ensembl	
MIR20A	GeneProduct	MIR20A	HGNC	
BET1	GeneProduct	ENSG00000105829	Ensembl	
TICAM2	GeneProduct	ENSG00000134970	Ensembl	
CBFB	GeneProduct	ENSG00000067955	Ensembl	
LAMC1	GeneProduct	ENSG00000135862	Ensembl	
TPM1	GeneProduct	ENSG00000140416	Ensembl	
SLC4A10	GeneProduct	ENSG00000144290	Ensembl	
HSD17B12	GeneProduct	ENSG00000149084	Ensembl	
PWP1	GeneProduct	ENSG00000136045	Ensembl	
MET	GeneProduct	ENSG00000105976	Ensembl	
POM121	GeneProduct	ENSG00000196313	Ensembl	
CUL4B	GeneProduct	ENSG00000158290	Ensembl	
DHX57	GeneProduct	ENSG00000163214	Ensembl	
UBE2V1	GeneProduct	ENSG00000124208	Ensembl	
FBXW1B	GeneProduct	ENSG00000072803	Ensembl	
MIR375	Rna	ENSG00000198973	Ensembl	
NP	GeneProduct	ENSG00000198805	Ensembl	
SPCS3	GeneProduct	ENSG00000129128	Ensembl	
NEDD4	GeneProduct	ENSG00000069869	Ensembl	
THBS1 	GeneProduct	ENSG00000137801	Ensembl	
KDELC2	GeneProduct	ENSG00000178202	Ensembl	
GNAI2	GeneProduct	ENSG00000114353	Ensembl	
MIRLET7B	Rna	ENSG00000284520	Ensembl	
MAP3K8	GeneProduct	ENSG00000107968	Ensembl	
NCL	GeneProduct	ENSG00000115053	Ensembl	
ARF4	GeneProduct	ENSG00000168374	Ensembl	
CTDSP1 	GeneProduct	ENSG00000144579	Ensembl	
HNRPM	GeneProduct	ENSG00000099783	Ensembl	
SLC38A1	GeneProduct	ENSG00000111371	Ensembl	
ATRX	GeneProduct	ENSG00000085224	Ensembl	
ARFIP1	GeneProduct	ENSG00000164144	Ensembl	
TMED2	GeneProduct	ENSG00000086598	Ensembl	
ATP2A2	GeneProduct	ENSG00000174437	Ensembl	
POLR2C	GeneProduct	ENSG00000102978	Ensembl	
PICALM	GeneProduct	ENSG00000073921	Ensembl	
ANXA2	GeneProduct	ENSG00000182718	Ensembl	
SDCBP	GeneProduct	ENSG00000137575	Ensembl	
FNDC3A	GeneProduct	ENSG00000102531	Ensembl	
THBS1	GeneProduct	ENSG00000137801	Ensembl	
DNAJB1	GeneProduct	ENSG00000132002	Ensembl	
VCAM1	GeneProduct	ENSG00000162692	Ensembl	
NRP1	GeneProduct	ENSG00000099250	Ensembl	
PPP1R7	GeneProduct	ENSG00000115685	Ensembl	
IDH1	GeneProduct	ENSG00000138413	Ensembl	
ADIPOR2 	GeneProduct	ENSG00000006831	Ensembl	
HMGA1	GeneProduct	ENSG00000137309	Ensembl	
FNDC3B	GeneProduct	ENSG00000075420	Ensembl	
TMED7	GeneProduct	ENSG00000134970	Ensembl	
POM121	GeneProduct	ENSG00000196313	Ensembl	
SRPRB	GeneProduct	ENSG00000144867	Ensembl	
FGF2	GeneProduct	ENSG00000138685	Ensembl	
PODXL	GeneProduct	ENSG00000128567	Ensembl	
AXL	GeneProduct	ENSG00000167601	Ensembl	
ANPEP	GeneProduct	ENSG00000166825	Ensembl	
PDLIM7	GeneProduct	ENSG00000196923	Ensembl	
MTPN 	GeneProduct	ENSG00000105887	Ensembl	
GYS1	GeneProduct	ENSG00000104812	Ensembl	
ELOVL5	GeneProduct	ENSG00000012660	Ensembl	
MIR126	Rna	ENSG00000199161	Ensembl	
PKM2	GeneProduct	ENSG00000067225	Ensembl	
SEC23A	GeneProduct	ENSG00000100934	Ensembl	
PDCD4	GeneProduct	ENSG00000150593	Ensembl	
MOV10	GeneProduct	ENSG00000155363	Ensembl	
PISD	GeneProduct	ENSG00000241878	Ensembl	
ANP32B	GeneProduct	ENSG00000136938	Ensembl	
THBS1	GeneProduct	ENSG00000137801	Ensembl	
CPNE8	GeneProduct	ENSG00000139117	Ensembl	
P4HA2	GeneProduct	ENSG00000072682	Ensembl	
MET	GeneProduct	ENSG00000105976	Ensembl	
ADAR	GeneProduct	ENSG00000160710	Ensembl	
MAGT1	GeneProduct	ENSG00000102158	Ensembl	
NF2	GeneProduct	ENSG00000186575	Ensembl	
TBCA	GeneProduct	ENSG00000171530	Ensembl	
HBXIP	GeneProduct	ENSG00000134248	Ensembl	
ATP6V1F	GeneProduct	ENSG00000128524	Ensembl	
SLC38A2	GeneProduct	ENSG00000134294	Ensembl	
GALNT1	GeneProduct	ENSG00000141429	Ensembl	
DNAJB1	GeneProduct	ENSG00000132002	Ensembl	
TRAM1	GeneProduct	ENSG00000067167	Ensembl	
PRPF40A	GeneProduct	ENSG00000196504	Ensembl	
MTPN 	GeneProduct	ENSG00000105887	Ensembl	
TNFRSF10B	GeneProduct	ENSG00000120889	Ensembl	
GALNT7	GeneProduct	ENSG00000109586	Ensembl	
PKM2	GeneProduct	ENSG00000067225	Ensembl	
LAMC1	GeneProduct	ENSG00000135862	Ensembl	
GFPT1	GeneProduct	ENSG00000198380	Ensembl	
TGFBR2	GeneProduct	ENSG00000163513	Ensembl	
SLC38A1	GeneProduct	ENSG00000111371	Ensembl	
ATP6V0E	GeneProduct	ENSG00000113732	Ensembl	
DHX40	GeneProduct	ENSG00000108406	Ensembl	
OPRS1	GeneProduct	ENSG00000147955	Ensembl	
VEZT / vezatin	GeneProduct	ENSG00000028203	Ensembl	
ACAA2	GeneProduct	ENSG00000167315	Ensembl	
RTN4	GeneProduct	ENSG00000115310	Ensembl	
MRPL20	GeneProduct	ENSG00000242485	Ensembl	
SH3BGRL3	GeneProduct	ENSG00000142669	Ensembl	
NP	GeneProduct	ENSG00000198805	Ensembl	
FAM96A	GeneProduct	ENSG00000166797	Ensembl	
tuba3	GeneProduct	ENSG00000167552	Ensembl	
SPTLC1	GeneProduct	ENSG00000090054	Ensembl	
LAMC1	GeneProduct	ENSG00000135862	Ensembl	
AP2A1	GeneProduct	ENSG00000196961	Ensembl	
ANPEP	GeneProduct	ENSG00000166825	Ensembl	
MET	GeneProduct	ENSG00000105976	Ensembl	
TMEM43	GeneProduct	ENSG00000170876	Ensembl	
SMAD1	GeneProduct	ENSG00000170365	Ensembl	
MRC2	GeneProduct	ENSG00000011028	Ensembl	
AP3D1	GeneProduct	ENSG00000065000	Ensembl	
NRAS	GeneProduct	ENSG00000009307	Ensembl	
PXDN	GeneProduct	ENSG00000130508	Ensembl	
CHMP2A	GeneProduct	ENSG00000130724	Ensembl	
MTPN 	GeneProduct	ENSG00000105887	Ensembl	
FMNL2	GeneProduct	ENSG00000157827	Ensembl	
POLD2	GeneProduct	ENSG00000106628	Ensembl	
PTMA	GeneProduct	ENSG00000187514	Ensembl	
MIR370	Rna	ENSG00000199005	Ensembl	
ARCN1	GeneProduct	ENSG00000095139	Ensembl	
AKAP8	GeneProduct	ENSG00000105127	Ensembl	
MPZL1	GeneProduct	ENSG00000197965	Ensembl	
GAS2L1	GeneProduct	ENSG00000185340	Ensembl	
SH3BP4	GeneProduct	ENSG00000130147	Ensembl	
TPM3	GeneProduct	ENSG00000143549	Ensembl	
SYNE2	GeneProduct	ENSG00000054654	Ensembl	
YWHAQ	GeneProduct	ENSG00000134308	Ensembl	
SLC12A2	GeneProduct	ENSG00000064651	Ensembl	
HOXA7	GeneProduct	ENSG00000122592	Ensembl	
RAI14	GeneProduct	ENSG00000039560	Ensembl	
RHEB	GeneProduct	ENSG00000106615	Ensembl	
TMED10	GeneProduct	ENSG00000170348	Ensembl	
RARS	GeneProduct	ENSG00000113643	Ensembl	
MIRLET7B	GeneProduct	ENSG00000284520	Ensembl	
MIRLET7A1	Rna	ENSG00000199165	Ensembl	
MIRLET7A2	Rna	ENSG00000198975	Ensembl	
MIRLET7A3	Rna	ENSG00000198986	Ensembl	
MIR155	GeneProduct	ENSG00000283904	Ensembl	
MIR16-1	Rna	ENSG00000208006	Ensembl	
MIR16-2	Rna	ENSG00000198987	Ensembl	
MIR1-1	Rna	406904	Entrez Gene	
MIR1-2	Rna	ENSG00000278753	Ensembl	
MIR30A	Rna	ENSG00000207827	Ensembl	
MIR30B	Rna	ENSG00000207582	Ensembl	
MIR30C1	Rna	ENSG00000207962	Ensembl	
MIR30A	Rna	ENSG00000207827	Ensembl	
MIR30C2	Rna	ENSG00000199094	Ensembl	
MIR30D	Rna	ENSG00000199153	Ensembl	
MIR30E	Rna	ENSG00000198974	Ensembl	
MIR103A1	Rna	ENSG00000199035	Ensembl	
MIR124-1	Rna	ENSG00000275677	Ensembl	
MIR124-2	Rna	ENSG00000207816	Ensembl	
MIR124-3	Rna	ENSG00000207598	Ensembl	
MIR21	Rna	ENSG00000284190	Ensembl	
MIR23A	Rna	ENSG00000207980	Ensembl	
MIR23B	Rna	ENSG00000207563	Ensembl	
MIR26A1	Rna	ENSG00000199075	Ensembl	
MIR26A2	Rna	ENSG00000207789	Ensembl	
MIR29C	GeneProduct	MIR29C	HGNC	
MIR30A	Rna	ENSG00000207827	Ensembl	
MIR34A	GeneProduct	ENSG00000284357	Ensembl	
MIR199A1	Rna	ENSG00000207752	Ensembl	
MIR199A2	Rna	ENSG00000208024	Ensembl	
MIR196A1	Rna	406972	Entrez Gene	
MIR196A2	Rna	406973	Entrez Gene	
MIR196B	Rna	442920	Entrez Gene	
MIR133B	Rna	ENSG00000199080	Ensembl	
MIR133A1	GeneProduct	ENSG00000283927	Ensembl	
MIR133A2	GeneProduct	ENSG00000284508	Ensembl	
MIR124-1	Rna	ENSG00000275677	Ensembl	
MIR124-2	Rna	ENSG00000207816	Ensembl	
MIR124-3	Rna	ENSG00000207598	Ensembl	
