Label	Type	ID	Database	Comment
ZFR	GeneProduct	461948	Entrez Gene	104050 at
NCKAP1	GeneProduct	459801	Entrez Gene	95508 at
CLDN5	GeneProduct	458955	Entrez Gene	104516 at
CRY1	GeneProduct	452205	Entrez Gene	
HLA-DMA	GeneProduct			162346 f at
STBD1	GeneProduct	738648	Entrez Gene	104116 at
PPP2CB	GeneProduct	464100	Entrez Gene	101101 at
GFRA1	GeneProduct	450756	Entrez Gene	93872 at
CEBPB	GeneProduct	469969	Entrez Gene	92925 at
HERPUD1	GeneProduct	454109	Entrez Gene	95057 at
HSPA8	GeneProduct	451629	Entrez Gene	96564 at
ERC2	GeneProduct	460460	Entrez Gene	93829 at
QKI	GeneProduct	472181	Entrez Gene	95096 at (mouse)
TUBB3	GeneProduct			94835 f at
VAPA	GeneProduct	455288	Entrez Gene	94889 at
TOB1	GeneProduct	468406	Entrez Gene	99532 at
PER1	GeneProduct	455098	Entrez Gene	
DAZAP2	GeneProduct	451902	Entrez Gene	94454 at
MYF6	GeneProduct	745321	Entrez Gene	102265 at
IDI1	GeneProduct	450263	Entrez Gene	96269 at
KLF9	GeneProduct	464520	Entrez Gene	93527 at
GSTP1	GeneProduct	745954	Entrez Gene	99583 at
CRY2	GeneProduct	742186	Entrez Gene	
BTG1	GeneProduct	452121	Entrez Gene	93104 at
GSTM3	GeneProduct	457128	Entrez Gene	97681 f at
PPP1R3C	GeneProduct	450596	Entrez Gene	93933 at
NCOA4	GeneProduct	450455	Entrez Gene	97843 at
CLOCK	GeneProduct	461312	Entrez Gene	
SUMO1	GeneProduct	459882	Entrez Gene	101091 at
RBPMS	GeneProduct	745703	Entrez Gene	103888 at
PURA	GeneProduct	471649	Entrez Gene	103501 at
PIGF	GeneProduct	459207	Entrez Gene	104725 at
NR1D2	GeneProduct	460230	Entrez Gene	99076 at
PSMA4	GeneProduct	453569	Entrez Gene	97459 at
ARNTL	GeneProduct	451034	Entrez Gene	
UGP2	GeneProduct	459273	Entrez Gene	94481 at
SUMO3	GeneProduct	740716	Entrez Gene	95424 at
MAP3K7IP2	GeneProduct	463057	Entrez Gene	160309 at
SF3A3	GeneProduct	745795	Entrez Gene	96029 at
EIF4G2	GeneProduct	466443	Entrez Gene	100535 at
DNAJA1	GeneProduct	746627	Entrez Gene	97261 at
PER2	GeneProduct	460057	Entrez Gene	
LOC462508	GeneProduct	462508	Entrez Gene	93833 s at
UCP3	GeneProduct	748551	Entrez Gene	93392 at
CBX3	GeneProduct	463300	Entrez Gene	100405 at
G0S2	GeneProduct	457697	Entrez Gene	97531 at
ETV6	GeneProduct	473366	Entrez Gene	93866 s at
AZIN1	GeneProduct	464324	Entrez Gene	101002 at
