Label	Type	ID	Database	Comment
L-Glu5S	Metabolite	CHEBI:17232	ChEBI	
L-Orn	Metabolite	CHEBI:15729	ChEBI	
CAP	Metabolite	CHEBI:17672	ChEBI	
Ornithine
carbamoyltransferase	Protein	5399145	Reactome	
AT5G14800	Protein	AT5G14800	TAIR	
H+	Metabolite	CHEBI:15378	ChEBI	
2OG	Metabolite	CHEBI:30915	ChEBI	
NAD(P)+	Metabolite	REACT_20200	Reactome	
(S)-1-Pyrroline-5-carboxylate	Metabolite	CHEBI:17388	ChEBI	
AT5G46180	Protein	AT5G46180	TAIR	
Pi	Metabolite	CHEBI:18367	ChEBI	
L-Glu	Metabolite	CHEBI:16015	ChEBI	
L-Cit	Metabolite	CHEBI:16349	ChEBI	
L-Pro	Metabolite	CHEBI:17203	ChEBI	
NAD(P)H	Metabolite	REACT_20158	Reactome	
