Label	Type	ID	Database	Comment
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
Ligase V	GeneProduct			
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
MRE11A	GeneProduct	ENSSSCG00000014955	Ensembl	
XRCC4	GeneProduct	ENSSSCG00000014135	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC4	GeneProduct	ENSSSCG00000014135	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XLF	GeneProduct			
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
Nbs1 ?	GeneProduct			
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
Ligase V	GeneProduct			
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
XRCC6	GeneProduct	ENSSSCG00000000059	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
RAD50	GeneProduct	ENSSSCG00000014280	Ensembl	
NHEJ1	GeneProduct	ENSSSCG00000016205	Ensembl	
PRKDC	GeneProduct	ENSSSCG00000006274	Ensembl	
XRCC5	GeneProduct	ENSSSCG00000016177	Ensembl	
