Label	Type	ID	Database	Comment
NDUFS7	GeneProduct			
ATP5D	GeneProduct			
ATP5G3	GeneProduct	424142	Entrez Gene	
NDUFA4	GeneProduct	772135	Entrez Gene	
LOC727762	GeneProduct			
NDUFS5	GeneProduct	771510	Entrez Gene	
NDUFB9	GeneProduct	420337	Entrez Gene	
NDUFS1	GeneProduct	424102	Entrez Gene	
B9	GeneProduct			
ATP5G1	GeneProduct	419992	Entrez Gene	
B18	GeneProduct			
NAD	Metabolite	HMDB0000902	HMDB	
NDUFB2	GeneProduct	418118	Entrez Gene	
NDUFB1	GeneProduct	423415	Entrez Gene	
ATP6	GeneProduct	3562236	Entrez Gene	
NDUFS6	GeneProduct	420976	Entrez Gene	
KFYI	GeneProduct			
NDUFV3	GeneProduct	418541	Entrez Gene	
NDUFB8	GeneProduct	423763	Entrez Gene	
NDUFA8	GeneProduct	417112	Entrez Gene	
NDUFAB1	GeneProduct	416571	Entrez Gene	
NDUFA5	GeneProduct	417753	Entrez Gene	
NADH	Metabolite	HMDB0001487	HMDB	
NDUFB6	GeneProduct	416391	Entrez Gene	
NDUFA10	GeneProduct	424032	Entrez Gene	
NDUFA9	GeneProduct	419039	Entrez Gene	
ATP5O	GeneProduct	418508	Entrez Gene	
NDUFA7	GeneProduct	420065	Entrez Gene	
ATP5F1	GeneProduct	419866	Entrez Gene	
ADP	Metabolite	HMDB0001341	HMDB	
NDUFC2	GeneProduct	404751	Entrez Gene	
ATP5L	GeneProduct	770052	Entrez Gene	
ATP	Metabolite	HMDB0000538	HMDB	
ATP6_CHICK	GeneProduct	ENSGALG00000018368	Ensembl	
COX3_CHICK	GeneProduct	ENSGALG00000018367	Ensembl	
NDUFS4	GeneProduct	374122	Entrez Gene	
ND4L	GeneProduct	3562246	Entrez Gene	
NUOMS	GeneProduct			
ATP5G2	GeneProduct			
NDUFB10	GeneProduct	416543	Entrez Gene	
GZMB	GeneProduct			
ATP5H	GeneProduct	422115	Entrez Gene	
NDUFS3	GeneProduct	423179	Entrez Gene	
NDUFV2	GeneProduct	426488	Entrez Gene	
ND5	GeneProduct	3562247	Entrez Gene	
ND3	GeneProduct	3562244	Entrez Gene	
ATP5G1	GeneProduct	419992	Entrez Gene	
NDUFA2	GeneProduct	768860	Entrez Gene	
NDUFB4	GeneProduct	769954	Entrez Gene	
NDUFS2	GeneProduct			
NDUFS8	GeneProduct	769492	Entrez Gene	
Hydrogen	Metabolite	HMDB0001362	HMDB	
ATP6AP1	GeneProduct	427854	Entrez Gene	
NDUFB5	GeneProduct	424978	Entrez Gene	
ATP5E	GeneProduct			
ATP5I	GeneProduct	769146	Entrez Gene	
ATP5B	GeneProduct	426673	Entrez Gene	
ND1	GeneProduct	3562242	Entrez Gene	
ATP5S	GeneProduct	423574	Entrez Gene	
ATP5J	GeneProduct	418477	Entrez Gene	
ATP6AP2	GeneProduct	418573	Entrez Gene	
ATP5J2	GeneProduct	416495	Entrez Gene	
NDUFA6	GeneProduct	427897	Entrez Gene	
ND6	GeneProduct	3562248	Entrez Gene	
NDUFA11	GeneProduct	420060	Entrez Gene	
ATP5A1	GeneProduct	374159	Entrez Gene	
CI-51kD	GeneProduct			
ND4	GeneProduct	3562245	Entrez Gene	
ND2	GeneProduct	3562243	Entrez Gene	
