Label	Type	ID	Database	Comment
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
Ligase V	GeneProduct			
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
MRE11A	GeneProduct	ENSECAG00000000295	Ensembl	
XP_001504687.1	GeneProduct	ENSECAG00000020269	Ensembl	
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001504687.1	GeneProduct	ENSECAG00000020269	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XLF	GeneProduct			
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
Nbs1 ?	GeneProduct			
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
Ligase V	GeneProduct			
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
XP_001500404.2	GeneProduct	ENSECAG00000017563	Ensembl	
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001504492.1	GeneProduct	ENSECAG00000010922	Ensembl	
NHEJ1	GeneProduct			
Q8WN21_HORSE	GeneProduct	ENSECAG00000020168	Ensembl	
XP_001489450.2	GeneProduct	ENSECAG00000015940	Ensembl	
