Label	Type	ID	Database	Comment
POLD3	GeneProduct	ENSSSCG00000014842	Ensembl	
RAD51	GeneProduct			
RAD51	GeneProduct			
BRCA2	GeneProduct	ENSSSCG00000009340	Ensembl	
BRCA2	GeneProduct	ENSSSCG00000009340	Ensembl	
BRCA2	GeneProduct	ENSSSCG00000009340	Ensembl	
RPA1	GeneProduct	ENSSSCG00000017822	Ensembl	
RPA1	GeneProduct	ENSSSCG00000017822	Ensembl	
RPA1	GeneProduct	ENSSSCG00000017822	Ensembl	
NBN	GeneProduct	ENSSSCG00000006127	Ensembl	
RAD52	GeneProduct	ENSSSCG00000000754	Ensembl	
RAD52	GeneProduct	ENSSSCG00000000754	Ensembl	
POLD4	GeneProduct	ENSSSCG00000012916	Ensembl	
RAD51	GeneProduct			
ATM	GeneProduct	ENSSSCG00000015007	Ensembl	
RAD54B	GeneProduct			
MRE11A	GeneProduct	ENSSSCG00000014955	Ensembl	
RAD51	GeneProduct			
BRCA2	GeneProduct	ENSSSCG00000009340	Ensembl	
POLD1	GeneProduct	ENSSSCG00000003216	Ensembl	
RPA1	GeneProduct	ENSSSCG00000017822	Ensembl	Type you comment here
POLD2	GeneProduct	ENSSSCG00000016753	Ensembl	
RAD52	GeneProduct	ENSSSCG00000000754	Ensembl	
RAD50	GeneProduct	ENSSSCG00000014280	Ensembl	
ATM	GeneProduct	ENSSSCG00000015007	Ensembl	
RAD54B	GeneProduct			
