ID	Database
3113327	Pubmed
9278091	Pubmed
18577758	Pubmed
12120503	Pubmed
18434541	Pubmed
11007482	Pubmed
7937899	Pubmed
16634148	Pubmed
8406495	Pubmed
2534964	Pubmed
12058044	Pubmed
8327893	Pubmed
8119955	Pubmed
2748346	Pubmed
2834384	Pubmed
8015379	Pubmed
16923326	Pubmed
15951850	Pubmed
13549488	Pubmed
22542620	Pubmed
8756726	Pubmed
11955952	Pubmed
12223533	Pubmed
9748280	Pubmed
15112653	Pubmed
8774883	Pubmed
10521509	Pubmed
16688755	Pubmed
22074927	Pubmed
20188572	Pubmed
21350678	Pubmed
21111842	Pubmed
22658984	Pubmed
15384919	Pubmed
20430952	Pubmed
22074928	Pubmed
8382952	Pubmed
11340090	Pubmed
16011460	Pubmed
9422713	Pubmed
16612131	Pubmed
9218123	Pubmed
18834311	Pubmed
