ID	Database
26040712	Pubmed
18628300	Pubmed
22770216	Pubmed
19620630	Pubmed
27875273	Pubmed
30513301	Pubmed
17098863	Pubmed
17235358	Pubmed
15148369	Pubmed
12194817	Pubmed
11509732	Pubmed
11081627	Pubmed
12070128	Pubmed
9892021	Pubmed
11371342	Pubmed
10411507	Pubmed
26040713	Pubmed
28242692	Pubmed
10911995	Pubmed
18485873	Pubmed
25602437	Pubmed
18316408	Pubmed
20711181	Pubmed
20576617	Pubmed
11231159	Pubmed
22885700	Pubmed
15737063	Pubmed
9497385	Pubmed
9019411	Pubmed
18691969	Pubmed
20974814	Pubmed
21795390	Pubmed
15545318	Pubmed
10872471	Pubmed
18775730	Pubmed
11853669	Pubmed
19721078	Pubmed
8146159	Pubmed
12196509	Pubmed
11893743	Pubmed
