ID	Database
17937601	Pubmed
20553370	Pubmed
20198122	Pubmed
21622208	Pubmed
21489811	Pubmed
21677426	Pubmed
19724019	Pubmed
23579596	Pubmed
21527729	Pubmed
20029269	Pubmed
22458591	Pubmed
22211890	Pubmed
21713385	Pubmed
20600241	Pubmed
22991412	Pubmed
23562747	Pubmed
22448029	Pubmed
22289780	Pubmed
23565489	Pubmed
21331644	Pubmed
21147620	Pubmed
22249808	Pubmed
11448122	Pubmed
10514492	Pubmed
10944457	Pubmed
12734179	Pubmed
9061609	Pubmed
15051545	Pubmed
12897384	Pubmed
9020115	Pubmed
9600917	Pubmed
9405487	Pubmed
9092791	Pubmed
17565041	Pubmed
15767667	Pubmed
15316008	Pubmed
10688912	Pubmed
11748924	Pubmed
18516053	Pubmed
18382766	Pubmed
11728342	Pubmed
15749844	Pubmed
8702919	Pubmed
9398404	Pubmed
15520807	Pubmed
22535895	Pubmed
24937142	Pubmed
17496910	Pubmed
22569528	Pubmed
20674547	Pubmed
17496919	Pubmed
21167873	Pubmed
21388974	Pubmed
12068308	Pubmed
17496923	Pubmed
21372320	Pubmed
19091303	Pubmed
22177953	Pubmed
9852124	Pubmed
9553137	Pubmed
