Label	Type	ID	Database	Comment
CO2	Metabolite	CHEBI:16526	ChEBI	
H+	Metabolite	CHEBI:15378	ChEBI	
NADH	Metabolite	CHEBI:16908	ChEBI	
PDH complex (name
copied from entity
in Oryza sativa)	Complex	5405994	Reactome	This complex/polymer has been computationally inferred (based on Ensembl Compara orthology projection) from a complex/polymer involved in an event that has been demonstrated in another species. Details of projection methods and parameters may be found <a href=\"/projection.html\">here.</a>
Ac-CoA	Metabolite	CHEBI:15351	ChEBI	
PYR	Metabolite	CHEBI:32816	ChEBI	
CoA-SH	Metabolite	CHEBI:15346	ChEBI	
NAD+	Metabolite	CHEBI:15846	ChEBI	
