Label	Type	ID	Database	Comment
PSMB10	GeneProduct	489749	Entrez Gene	
UBC	GeneProduct	610457	Entrez Gene	
HIST1H2AB	GeneProduct			
UCHL3	GeneProduct	476947	Entrez Gene	
PSMA2	GeneProduct	475870	Entrez Gene	
Ubiquitin	Protein			
HLA-G	GeneProduct			
PSME1	GeneProduct	480256	Entrez Gene	
PSMB1	GeneProduct	475040	Entrez Gene	
PSMA5	GeneProduct	490123	Entrez Gene	
HLA-E	GeneProduct			
PSMD12	GeneProduct	480465	Entrez Gene	
PSMD9	GeneProduct	477467	Entrez Gene	
PSMC5	GeneProduct	480478	Entrez Gene	PRS6 HUMAN
UBE2B	GeneProduct	474683	Entrez Gene	
PSMB8	GeneProduct	474865	Entrez Gene	
PSMD7	GeneProduct	479671	Entrez Gene	
PSMB4	GeneProduct	475848	Entrez Gene	
UBE2D3	GeneProduct			
PSMD11	GeneProduct	480610	Entrez Gene	
UBA1	GeneProduct	480896	Entrez Gene	
RPN1	GeneProduct	476516	Entrez Gene	
PSMC3	GeneProduct	475980	Entrez Gene	
LOC478493	GeneProduct	478493	Entrez Gene	
PSMB2	GeneProduct	475338	Entrez Gene	
HLA-H	GeneProduct			
PSMB9	GeneProduct	474867	Entrez Gene	
IFNG	GeneProduct	403801	Entrez Gene	
PSMA3	GeneProduct	480338	Entrez Gene	
UCHL1	GeneProduct	ENSCAFG00000015878	Ensembl	
HLA-A	GeneProduct			
PSMD10	GeneProduct	481014	Entrez Gene	
HLA-J	GeneProduct			
DLA-79	GeneProduct	483594	Entrez Gene	
PSMD3	GeneProduct	491018	Entrez Gene	
PSMD13	GeneProduct	475934	Entrez Gene	
UBE2D2	GeneProduct	612742	Entrez Gene	
RPN2	GeneProduct	477223	Entrez Gene	
LOC489372	GeneProduct	489372	Entrez Gene	
PSMD6	GeneProduct	484700	Entrez Gene	
PSMA7	GeneProduct	404305	Entrez Gene	
PSMA1	GeneProduct	476867	Entrez Gene	
UBA7	GeneProduct	608118	Entrez Gene	
PSMB6	GeneProduct	607466	Entrez Gene	U13393
PSMA6	GeneProduct	480290	Entrez Gene	
ATP	Metabolite			
PSMB5	GeneProduct	480246	Entrez Gene	
PSME3	GeneProduct	480512	Entrez Gene	
PSMC1	GeneProduct	478703	Entrez Gene	
PSMD5	GeneProduct	474703	Entrez Gene	
UBE2D1	GeneProduct	608578	Entrez Gene	
NEDD4	GeneProduct	608738	Entrez Gene	
PSMC6	GeneProduct	478522	Entrez Gene	
PSMC4	GeneProduct	476459	Entrez Gene	PRS6 HUMAN
PSMD4	GeneProduct	100192385	Entrez Gene	
UBB	GeneProduct	479513	Entrez Gene	
HLA-C	GeneProduct			
PSMA4	GeneProduct	475132	Entrez Gene	
PSME2	GeneProduct	480258	Entrez Gene	
PSMB7	GeneProduct			
PSMD1	GeneProduct			
PSMC2	GeneProduct	475896	Entrez Gene	
HLA-B	GeneProduct			
PSMB3	GeneProduct	480537	Entrez Gene	
PSMD2	GeneProduct	478654	Entrez Gene	
PSMD8	GeneProduct	476470	Entrez Gene	
PSMC5	GeneProduct	480478	Entrez Gene	
