Label	Type	ID	Database	Comment
TGFBR3	GeneProduct	457016	Entrez Gene	
ZEB2	GeneProduct	459644	Entrez Gene	
TGFB1	GeneProduct	456060	Entrez Gene	
SMAD9	GeneProduct	452539	Entrez Gene	
JAK1	GeneProduct	743373	Entrez Gene	
MAPK9	GeneProduct	462336	Entrez Gene	
SMAD1	GeneProduct	450142	Entrez Gene	
RUNX2	GeneProduct	472017	Entrez Gene	
TGIF1	GeneProduct	455312	Entrez Gene	
SKI	GeneProduct			
SMAD4	GeneProduct	468537	Entrez Gene	
BMP4	GeneProduct	452912	Entrez Gene	
TNF	GeneProduct	744399	Entrez Gene	
FST	GeneProduct	461879	Entrez Gene	
FKBP1A	GeneProduct	749347	Entrez Gene	
SPP1	GeneProduct	461366	Entrez Gene	
WNT1	GeneProduct	742674	Entrez Gene	
TGFBR2	GeneProduct	460243	Entrez Gene	
THBS1	GeneProduct	453319	Entrez Gene	there are 5 types of tsp
LIF	GeneProduct	736309	Entrez Gene	
NOG	GeneProduct	468413	Entrez Gene	
LEF1	GeneProduct	461425	Entrez Gene	
ENG	GeneProduct	741046	Entrez Gene	
SMAD6	GeneProduct	467711	Entrez Gene	
BMP4	GeneProduct	452912	Entrez Gene	
SKIL	GeneProduct	460844	Entrez Gene	
ZNF423	GeneProduct	465158	Entrez Gene	
MAPK3	GeneProduct	454037	Entrez Gene	
RUNX3	GeneProduct	456633	Entrez Gene	
TGFBR1	GeneProduct	472992	Entrez Gene	
NFKB1	GeneProduct	461406	Entrez Gene	
SMAD3	GeneProduct	748161	Entrez Gene	
BAMBI	GeneProduct	745034	Entrez Gene	
EP300	GeneProduct	458862	Entrez Gene	
SERPINE1	GeneProduct	472467	Entrez Gene	
SMAD1	GeneProduct	450142	Entrez Gene	
INHBA	GeneProduct	463371	Entrez Gene	
LTBP1	GeneProduct	459143	Entrez Gene	
SMAD2	GeneProduct	455407	Entrez Gene	
STAT3	GeneProduct	454682	Entrez Gene	
TGFBR2	GeneProduct	460243	Entrez Gene	
ZFYVE9	GeneProduct	456855	Entrez Gene	
IFNG	GeneProduct	449517	Entrez Gene	
TGFB1	GeneProduct	456060	Entrez Gene	
JUN	GeneProduct	456893	Entrez Gene	
SMAD2	GeneProduct	455407	Entrez Gene	
SMAD7	GeneProduct	455411	Entrez Gene	
FOXH1	GeneProduct	464468	Entrez Gene	
HRAS	GeneProduct	466302	Entrez Gene	
CTNNB1	GeneProduct	450183	Entrez Gene	
TNF	GeneProduct	744399	Entrez Gene	
FOS	GeneProduct	453047	Entrez Gene	
TFE3	GeneProduct	473871	Entrez Gene	
EGF	GeneProduct	461435	Entrez Gene	
STAT1	GeneProduct	459834	Entrez Gene	
CREBBP	GeneProduct	467891	Entrez Gene	
TGFBR1	GeneProduct	472992	Entrez Gene	
SMAD5	GeneProduct	745633	Entrez Gene	
ITGB6	GeneProduct	459683	Entrez Gene	
