Label	Type	ID	Database	Comment
(Z)-beta-ocimene	Metabolite	C09873	KEGG Compound	
1,8-cineole	Metabolite	CHEBI:27961	ChEBI	
GPP	Metabolite	CHEBI:17211	ChEBI	
terpinolene	Metabolite	CHEBI:9457	ChEBI	
(-)-limonene	Metabolite	CHEBI:15383	ChEBI	
PPi	Metabolite	CHEBI:29888	ChEBI	
PPi	Metabolite	CHEBI:29888	ChEBI	
PPi	Metabolite	CHEBI:29888	ChEBI	
(4S)-limonene
synthase	Protein	4793440	Reactome	Converts geranyl-PP into (-)-limonene.
PPi	Metabolite	CHEBI:29888	ChEBI	
(-)-beta-pinene	Metabolite	CHEBI:28359	ChEBI	
(-)-alpha-terpineol	Metabolite	CHEBI:128	ChEBI	
(E)-beta-ocimene	Metabolite	C09873	KEGG Compound	
H2O	Metabolite	CHEBI:15377	ChEBI	
sabinene	Metabolite	CHEBI:50027	ChEBI	
PPi	Metabolite	CHEBI:29888	ChEBI	
(-)-alpha-pinene	Metabolite	CHEBI:28660	ChEBI	
beta-myrcene	Metabolite	CHEBI:17221	ChEBI	
