Label	Type	ID	Database	Comment
PTH	Protein	403986	Entrez Gene	
TNFRSF11B	Protein	482025	Entrez Gene	
TNFSF11	Protein	609418	Entrez Gene	
PDGFB	Protein	442986	Entrez Gene	
Vitmain D	Metabolite	2735	PubChem-compound	
IBSP	Protein	609146	Entrez Gene	
PDGFB	Protein	442986	Entrez Gene	
PDGFRB	Protein	442985	Entrez Gene	
IBSP	Protein	609146	Entrez Gene	
TNFSF11	Protein	609418	Entrez Gene	
ITGAV	Protein	488437	Entrez Gene	
PTH1R	Protein	403779	Entrez Gene	
PDGF Ra/b	GeneProduct			
FGF23	Protein	611773	Entrez Gene	
COL1A1	Protein	403651	Entrez Gene	
Sodium	Metabolite	923	PubChem-compound	
PDGF-BB	GeneProduct			
FGF23	Protein	611773	Entrez Gene	
ITGB3	Protein	403788	Entrez Gene	
PTH1R	Protein	403779	Entrez Gene	
PDGFRA	Protein	442860	Entrez Gene	
PTH	Protein	403986	Entrez Gene	
Sodium	Metabolite	923	PubChem-compound	
SLC34A1	Protein	488255	Entrez Gene	
Phosphate	Metabolite	1061	PubChem-compound	
Vitamin D	Metabolite	2735	PubChem-compound	
TNFRSF11B	Protein	482025	Entrez Gene	
Osteocalcin	Protein			
