Label	Type	ID	Database	Comment
UDP-Glc	Metabolite	CHEBI:18066	ChEBI	
leucodelphinidin	Metabolite	CHEBI:71216	ChEBI	
CO2	Metabolite	CHEBI:16526	ChEBI	
anthocyanidin
dioxygenase	Protein	2672097	Reactome	facilitates the conversion of  leucodelphinidin to delphinidin
UDP	Metabolite	CHEBI:17659	ChEBI	
anthocyanidin
3-O-glucosyltransferase	Protein	1121937	Reactome	catalyzes the conversion of delphinidin to delphinidin-3-O-beta-glucoside
2OG	Metabolite	CHEBI:30915	ChEBI	
delphinidin-3-O-beta-D-glucoside	Metabolite	CHEBI:31463	ChEBI	
delphinidin	Metabolite	CHEBI:28436	ChEBI	
H2O	Metabolite	CHEBI:15377	ChEBI	
O2	Metabolite	CHEBI:15379	ChEBI	
SUCCA	Metabolite	CHEBI:15741	ChEBI	
