ID	Database
11331308	Pubmed
15741237	Pubmed
9845526	Pubmed
10225955	Pubmed
9219219	Pubmed
11544254	Pubmed
15817463	Pubmed
17967169	Pubmed
16467305	Pubmed
12050160	Pubmed
12953056	Pubmed
11447115	Pubmed
12802069	Pubmed
12679033	Pubmed
18508764	Pubmed
18940607	Pubmed
17307840	Pubmed
12230981	Pubmed
12759359	Pubmed
15159419	Pubmed
10811835	Pubmed
8538749	Pubmed
25372031	Pubmed
19354288	Pubmed
19242489	Pubmed
12482924	Pubmed
10637308	Pubmed
15005707	Pubmed
12499396	Pubmed
18436335	Pubmed
7806582	Pubmed
16129888	Pubmed
11964389	Pubmed
16531412	Pubmed
8153632	Pubmed
