ID	Database
11282294	Pubmed
17525755	Pubmed
8578462	Pubmed
10798271	Pubmed
16115029	Pubmed
14615387	Pubmed
17563375	Pubmed
11564780	Pubmed
14749497	Pubmed
11779189	Pubmed
9360995	Pubmed
14707126	Pubmed
9054388	Pubmed
10350061	Pubmed
7478529	Pubmed
11191051	Pubmed
16297198	Pubmed
14529530	Pubmed
17172599	Pubmed
9252369	Pubmed
10425179	Pubmed
10921872	Pubmed
11719518	Pubmed
16260747	Pubmed
15946952	Pubmed
15800062	Pubmed
15893672	Pubmed
16895971	Pubmed
12070135	Pubmed
11607834	Pubmed
10521483	Pubmed
10880960	Pubmed
10706100	Pubmed
2538457	Pubmed
468991	Pubmed
12782713	Pubmed
10051567	Pubmed
11969368	Pubmed
9774457	Pubmed
15721307	Pubmed
17167768	Pubmed
16258728	Pubmed
8314844	Pubmed
17099249	Pubmed
9763524	Pubmed
15000751	Pubmed
9693095	Pubmed
9052782	Pubmed
11256994	Pubmed
16691243	Pubmed
8166770	Pubmed
11447223	Pubmed
8980223	Pubmed
11566266	Pubmed
14665640	Pubmed
17625065	Pubmed
12208882	Pubmed
17116209	Pubmed
17580308	Pubmed
16737840	Pubmed
17064312	Pubmed
17442946	Pubmed
9690470	Pubmed
9764820	Pubmed
21659548	Pubmed
7509040	Pubmed
17452516	Pubmed
12558975	Pubmed
17996943	Pubmed
7542249	Pubmed
8838667	Pubmed
16585556	Pubmed
10764623	Pubmed
11943775	Pubmed
16783819	Pubmed
17615384	Pubmed
17505016	Pubmed
15901826	Pubmed
9382878	Pubmed
17600130	Pubmed
8163559	Pubmed
10606205	Pubmed
9295288	Pubmed
11812992	Pubmed
15681301	Pubmed
15528364	Pubmed
17322099	Pubmed
7521878	Pubmed
9242610	Pubmed
24764293	Pubmed
10858437	Pubmed
9169774	Pubmed
11207550	Pubmed
23945545	Pubmed
21193412	Pubmed
9632797	Pubmed
11689432	Pubmed
24043627	Pubmed
19279206	Pubmed
12469115	Pubmed
1591491	Pubmed
17379836	Pubmed
17002897	Pubmed
9204896	Pubmed
420821	Pubmed
2405901	Pubmed
6589623	Pubmed
2822087	Pubmed
6688526	Pubmed
14770310	Pubmed
