Label	Type	ID	Database	Comment
MAPK14	GeneProduct	450161	Entrez Gene	
JUN	GeneProduct	456893	Entrez Gene	
NRAS	GeneProduct	742713	Entrez Gene	
RAF1	GeneProduct	460182	Entrez Gene	
MAP2K7	GeneProduct	743199	Entrez Gene	
MAP3K3	GeneProduct			
GTP	Metabolite			
MAP3K1	GeneProduct	471543	Entrez Gene	
MAPK3	GeneProduct	454037	Entrez Gene	
ELK1	GeneProduct			
MAP2	GeneProduct	459909	Entrez Gene	
MAP2K4	GeneProduct	455065	Entrez Gene	
HRAS	GeneProduct	466302	Entrez Gene	
MAP3K12	GeneProduct	451940	Entrez Gene	
MAPK10	GeneProduct	461358	Entrez Gene	
MAP2K2	GeneProduct	456390	Entrez Gene	
MBP	GeneProduct	455522	Entrez Gene	
MAPK12	GeneProduct			
GDP	Metabolite			
MAP2K6	GeneProduct	468310	Entrez Gene	
SIPA1	GeneProduct			not confirmed SwissProt ID - mu: SPA1 MOUSE
MAPK1	GeneProduct	458680	Entrez Gene	
RapGAPII	GeneProduct			
RASA3	GeneProduct	452684	Entrez Gene	
RRAS	GeneProduct	468955	Entrez Gene	
ARAF	GeneProduct			
KRAS	GeneProduct	473387	Entrez Gene	
MAP3K2	GeneProduct	736244	Entrez Gene	
BRAF	GeneProduct	463781	Entrez Gene	
MAP2K1	GeneProduct	450188	Entrez Gene	
MAP2K3	GeneProduct	454515	Entrez Gene	
MAP2K4	GeneProduct	455065	Entrez Gene	
PLCB3	GeneProduct			
