Label	Type	ID	Database	Comment
Q2VB21_CANFA	GeneProduct	ENSCAFG00000002230	Ensembl	
Sulfotransferase	GeneProduct			
CYP4B1	GeneProduct	ENSCAFG00000004097	Ensembl	
NDST4	GeneProduct	ENSCAFG00000012211	Ensembl	
GSTA4	GeneProduct	ENSCAFG00000024066	Ensembl	
AKR7A2	GeneProduct	478210	Entrez Gene	
NAT12	GeneProduct	ENSCAFG00000015251	Ensembl	
NAT1	GeneProduct			
Flavin monooxygenase	GeneProduct			
SULT1C4	GeneProduct	ENSCAFG00000023655	Ensembl	
UGT1A5	GeneProduct			
NAT2	GeneProduct			
Substrate-SH	Metabolite			
UGT1A4	GeneProduct			
CYP39A1	GeneProduct	ENSCAFG00000002026	Ensembl	
CYP27A1	GeneProduct	ENSCAFG00000014943	Ensembl	
Q70DT1_CANFA	GeneProduct	ENSCAFG00000000980	Ensembl	
NDST2	GeneProduct	ENSCAFG00000015050	Ensembl	
CYP2U1	GeneProduct	ENSCAFG00000011203	Ensembl	
CYP450	GeneProduct			
FMO5	GeneProduct	ENSCAFG00000010883	Ensembl	
NDST3	GeneProduct	ENSCAFG00000012299	Ensembl	
HS6ST1	GeneProduct	ENSCAFG00000004232	Ensembl	
GSTT2	GeneProduct	ENSCAFG00000014043	Ensembl	
UGT1A7	GeneProduct			
CYP4F3	GeneProduct			
AKR1C2	GeneProduct			
CYP4X1	GeneProduct	ENSCAFG00000023824	Ensembl	
HS3ST1	GeneProduct	403672	Entrez Gene	
MGST2	GeneProduct	ENSCAFG00000003702	Ensembl	
HS3ST3A1	GeneProduct	489512	Entrez Gene	
Amino acid acyltransferase	GeneProduct			
CYP2A7	GeneProduct			
CYP4F22	GeneProduct	ENSCAFG00000023053	Ensembl	
GPX1	GeneProduct	ENSCAFG00000011495	Ensembl	
Substrate-NH2	Metabolite			
N-acetyltransferase	GeneProduct			
CHST7	GeneProduct	ENSCAFG00000014753	Ensembl	
TPMT_CANFA	GeneProduct	ENSCAFG00000010160	Ensembl	
GLYAT	GeneProduct	ENSCAFG00000007663	Ensembl	
HNMT	GeneProduct	ENSCAFG00000005178	Ensembl	
BAAT	GeneProduct	ENSCAFG00000023863	Ensembl	
FMO3_CANFA	GeneProduct	ENSCAFG00000014992	Ensembl	
CP2BB_CANFA	GeneProduct	ENSCAFG00000005052	Ensembl	
CYP2C19	GeneProduct			
CHST1	GeneProduct	ENSCAFG00000009385	Ensembl	
Q2VB21_CANFA	GeneProduct	ENSCAFG00000002230	Ensembl	
CYP24A1	GeneProduct	ENSCAFG00000011839	Ensembl	
CHST3	GeneProduct	ENSCAFG00000014410	Ensembl	
UGT1A10	GeneProduct			
CYP4F12	GeneProduct	ENSCAFG00000023401	Ensembl	
UGT2B4	GeneProduct			
ST1B1_CANFA	GeneProduct	ENSCAFG00000002871	Ensembl	
UGT1A9	GeneProduct			
CYP27C1	GeneProduct	ENSCAFG00000004542	Ensembl	
CYP2A6	GeneProduct			
SULT1C4	GeneProduct	474542	Entrez Gene	
CYP46A1	GeneProduct	ENSCAFG00000017838	Ensembl	
CYP2C9	GeneProduct			
Substrate=O	Metabolite			
CYP4V2	GeneProduct	ENSCAFG00000007384	Ensembl	
NAT6	GeneProduct	ENSCAFG00000024499	Ensembl	
Q9TRV2_CANFA	GeneProduct	ENSCAFG00000019812	Ensembl	
GPX2	GeneProduct	ENSCAFG00000016165	Ensembl	
Q3HTU0_CANFA	GeneProduct	ENSCAFG00000001285	Ensembl	
Substrate-Aa	Metabolite			
CYP2C18	GeneProduct			
CYP4F11	GeneProduct	ENSCAFG00000023401	Ensembl	
GLYATL1	GeneProduct			
Substrate-CH3	Metabolite			
UGT1A1	GeneProduct			
CP1A2_CANFA	GeneProduct	ENSCAFG00000017941	Ensembl	
AKR1B1	GeneProduct	ENSCAFG00000001290	Ensembl	
HS3ST2	GeneProduct	ENSCAFG00000017700	Ensembl	
NAT14	GeneProduct	ENSCAFG00000002575	Ensembl	
GPX3	GeneProduct	489179	Entrez Gene	
CYP1B1	GeneProduct	ENSCAFG00000006164	Ensembl	
GLYATL2	GeneProduct			
GSTO1	GeneProduct	ENSCAFG00000010593	Ensembl	
CYP20A1	GeneProduct	ENSCAFG00000012765	Ensembl	
CYP2S1	GeneProduct	ENSCAFG00000005049	Ensembl	
SULT1E1	GeneProduct	ENSCAFG00000002878	Ensembl	
CP19A_CANFA	GeneProduct	ENSCAFG00000015338	Ensembl	
CYP21A	GeneProduct	415124	Entrez Gene	
AKR7A3	GeneProduct			
CYP26C1	GeneProduct	ENSCAFG00000007574	Ensembl	
SULT2A1	GeneProduct			
HS6ST2	GeneProduct	ENSCAFG00000018850	Ensembl	
CYP27B1	GeneProduct	ENSCAFG00000000287	Ensembl	
CYP26B1	GeneProduct	ENSCAFG00000009005	Ensembl	
GSTT1	GeneProduct	ENSCAFG00000014034	Ensembl	
AKR1A1	GeneProduct	ENSCAFG00000004549	Ensembl	
FMO1_CANFA	GeneProduct	ENSCAFG00000014982	Ensembl	
UGT2B7	GeneProduct			
NAT5	GeneProduct	ENSCAFG00000005357	Ensembl	
UGT2A2	GeneProduct			
INMT	GeneProduct	489397	Entrez Gene	
NNMT	GeneProduct	ENSCAFG00000013523	Ensembl	
GSTM2	GeneProduct			
AKR1C3	GeneProduct	497070	Entrez Gene	
Aldo-keto reductase	GeneProduct			
Methyltransferase	GeneProduct			
CYP2W1	GeneProduct	ENSCAFG00000011551	Ensembl	
NAT10	GeneProduct	ENSCAFG00000007028	Ensembl	
CHST11	GeneProduct	ENSCAFG00000024233	Ensembl	
CHST9	GeneProduct	490506	Entrez Gene	
SULT1C3	GeneProduct	ENSCAFG00000023398	Ensembl	
GAL3ST4	GeneProduct	ENSCAFG00000014551	Ensembl	
CYP3A7	GeneProduct			
UGT2B15	GeneProduct			
UGT2B11	GeneProduct			
CYP7A1	GeneProduct	ENSCAFG00000007098	Ensembl	
GSTZ1	GeneProduct	ENSCAFG00000017185	Ensembl	
Substrate-O-R	Metabolite			
CYP4F2	GeneProduct	ENSCAFG00000023401	Ensembl	
CHST2	GeneProduct	ENSCAFG00000008005	Ensembl	
CYP2F1	GeneProduct	ENSCAFG00000023821	Ensembl	
GAL3ST1	GeneProduct	ENSCAFG00000012779	Ensembl	
HS3ST5	GeneProduct	ENSCAFG00000004054	Ensembl	
GSTK1	GeneProduct	475518	Entrez Gene	
GAL3ST3	GeneProduct	ENSCAFG00000013061	Ensembl	
HS2ST1	GeneProduct	ENSCAFG00000020234	Ensembl	
CYP8B1	GeneProduct	ENSCAFG00000005370	Ensembl	
CP1A1_CANFA	GeneProduct	ENSCAFG00000017937	Ensembl	
Glucuronosyltransferase	GeneProduct			
GSR	GeneProduct	475596	Entrez Gene	
Substrate-Ac	Metabolite			
SULT4A1	GeneProduct	ENSCAFG00000000899	Ensembl	
Substrate-OH	Metabolite			
HS6ST3	GeneProduct	485526	Entrez Gene	
Q3HTU0_CANFA	GeneProduct	ENSCAFG00000001285	Ensembl	
GSTM5	GeneProduct			
CYP4Z1	GeneProduct			
Substrate-Gl	Metabolite			
AKR1C4	GeneProduct			
UGT2A1	GeneProduct	475163	Entrez Gene	
NDST1	GeneProduct	ENSCAFG00000023069	Ensembl	
AKR1C1	GeneProduct			
KCNAB1	GeneProduct	ENSCAFG00000008838	Ensembl	
GSTCD	GeneProduct	ENSCAFG00000010916	Ensembl	
CHST13	GeneProduct	ENSCAFG00000003870	Ensembl	
CYP7B1	GeneProduct	ENSCAFG00000007246	Ensembl	
CYP11A1	GeneProduct	ENSCAFG00000017888	Ensembl	
CYP2C8	GeneProduct			
UGT2A3	GeneProduct			
CHST10	GeneProduct	ENSCAFG00000002235	Ensembl	
SULT1C2	GeneProduct	ENSCAFG00000002041	Ensembl	
Q7M327_CANFA	GeneProduct	ENSCAFG00000016160	Ensembl	
NAT9	GeneProduct	ENSCAFG00000004601	Ensembl	
NAT8L	GeneProduct	ENSCAFG00000014913	Ensembl	
ST1A1_CANFA	GeneProduct	ENSCAFG00000017122	Ensembl	
NAT13	GeneProduct	ENSCAFG00000010694	Ensembl	
HS3ST4	GeneProduct	ENSCAFG00000023052	Ensembl	
UGT1A6	GeneProduct	403629	Entrez Gene	
GPX4	GeneProduct			
CYP2R1	GeneProduct	ENSCAFG00000008504	Ensembl	
HS3ST3B1	GeneProduct	489516	Entrez Gene	
SULT2B1	GeneProduct	ENSCAFG00000003981	Ensembl	
Q6PXD9_CANFA	GeneProduct	ENSCAFG00000007671	Ensembl	
GPX5_CANFA	GeneProduct	ENSCAFG00000011947	Ensembl	
Substrate-SO3H	Metabolite			
Glutathione transferase	GeneProduct			
CYP4F8	GeneProduct			
EPHX2	GeneProduct	ENSCAFG00000008438	Ensembl	
CHST5	GeneProduct	ENSCAFG00000020075	Ensembl	
UGT2B28	GeneProduct			
CYP3A4	GeneProduct			
GSTM1	GeneProduct			
KCNAB3	GeneProduct	ENSCAFG00000016888	Ensembl	
FMO2	GeneProduct	ENSCAFG00000014986	Ensembl	
Q2VB21_CANFA	GeneProduct	ENSCAFG00000002230	Ensembl	
KCNAB2	GeneProduct	ENSCAFG00000019524	Ensembl	
NAT11	GeneProduct	ENSCAFG00000014746	Ensembl	
FMO4	GeneProduct	ENSCAFG00000014980	Ensembl	
CYP26A1	GeneProduct			
ST1A1_CANFA	GeneProduct	ENSCAFG00000017122	Ensembl	
CP2E1_CANFA	GeneProduct	ENSCAFG00000013318	Ensembl	
CHST14	GeneProduct	608435	Entrez Gene	
SULT6B1	GeneProduct	ENSCAFG00000006067	Ensembl	
HS3ST6	GeneProduct	ENSCAFG00000024261	Ensembl	
CYP17A1	GeneProduct	ENSCAFG00000010279	Ensembl	
CHST4	GeneProduct	ENSCAFG00000020184	Ensembl	
MGST1	GeneProduct	ENSCAFG00000012619	Ensembl	
UGT2B17	GeneProduct			
ST1A1_CANFA	GeneProduct	ENSCAFG00000017122	Ensembl	
AKR1B10	GeneProduct			
NAT8	GeneProduct	ENSCAFG00000008808	Ensembl	
CYP3A43	GeneProduct			
ST1A1_CANFA	GeneProduct	ENSCAFG00000017122	Ensembl	
UGT1A8	GeneProduct	ENSCAFG00000015350	Ensembl	
CYP3A5	GeneProduct			
Q2VB21_CANFA	GeneProduct	ENSCAFG00000002230	Ensembl	
GSTP1	GeneProduct			
NP_001004074.1	GeneProduct	ENSCAFG00000014253	Ensembl	
CHST6	GeneProduct	ENSCAFG00000020075	Ensembl	
Substrate-SG	Metabolite			
Xenobiotic substrate	Metabolite			
UGT1A3	GeneProduct			
CYP2J2	GeneProduct	ENSCAFG00000018871	Ensembl	
MGST3	GeneProduct	ENSCAFG00000013353	Ensembl	
AKR1D1	GeneProduct	491379	Entrez Gene	
GSTO2	GeneProduct	ENSCAFG00000024905	Ensembl	
GSTM3	GeneProduct	ENSCAFG00000019809	Ensembl	
GAL3ST2	GeneProduct	ENSCAFG00000013175	Ensembl	
GSTT2B	GeneProduct	ENSCAFG00000014043	Ensembl	
CHST8	GeneProduct	ENSCAFG00000024101	Ensembl	
