Label	Type	ID	Database	Comment
TIR-1	GeneProduct	F13B10.1	WormBase	
p38 MAPK
Pathway	Pathway	WP2925	WikiPathways	
TPA-1	GeneProduct	B0545.1	WormBase	
DKF-2	GeneProduct	T25E12.4	WormBase	
NSY-1	GeneProduct	F59A6.1	WormBase	
AKT-1	GeneProduct	C12D8.10	WormBase	
AKT-2	GeneProduct	F28H6.1	WormBase	
SGK-1	GeneProduct	W10G6.2	WormBase	
DAF-16	GeneProduct	R13H8.1	WormBase	
DAF-16	GeneProduct	R13H8.1	WormBase	
ELT-2	GeneProduct	C33D3.1	WormBase	
ATF-7	GeneProduct	C07G2.2	WormBase	
ZIP-2	GeneProduct	K02F3.4	WormBase	
SEK-1	GeneProduct	R03G5.2	WormBase	
PMK-1	GeneProduct	B0218.3	WormBase	
