Label	Type	ID	Database	Comment
O2	Metabolite	CHEBI:15379	ChEBI	
3-deoxy-capsidiol	Metabolite	CHEBI:72642	ChEBI	
PPi	Metabolite	CHEBI:29888	ChEBI	
NADP+	Metabolite	CHEBI:18009	ChEBI	
H2O	Metabolite	CHEBI:15377	ChEBI	
NADP+	Metabolite	CHEBI:18009	ChEBI	
H2O	Metabolite	CHEBI:15377	ChEBI	
NADPH	Metabolite	CHEBI:16474	ChEBI	
capsidiol	Metabolite	CHEBI:28283	ChEBI	
terpene synthase
(LOC_OS03G31430.1)	Protein	Q10JA2	Uniprot-TrEMBL	Converts trans, trans-farnesyl diphosphate into 5-epi-aristolochene.
H+	Metabolite	CHEBI:15378	ChEBI	
1-deoxy-capsidiol	Metabolite	CHEBI:72638	ChEBI	
H+	Metabolite	CHEBI:15378	ChEBI	
FAPP	Metabolite	CHEBI:17407	ChEBI	
NADPH	Metabolite	CHEBI:16474	ChEBI	
5-epi-aristolochene	Metabolite	CHEBI:23925	ChEBI	
O2	Metabolite	CHEBI:15379	ChEBI	
