ID	Database
17898118	Pubmed
17903697	Pubmed
17785632	Pubmed
17487824	Pubmed
16908757	Pubmed
7586334	Pubmed
7537756	Pubmed
1363813	Pubmed
1298871	Pubmed
1655275	Pubmed
17419723	Pubmed
15946255	Pubmed
12968033	Pubmed
17636122	Pubmed
16006965	Pubmed
14512277	Pubmed
8107774	Pubmed
12477932	Pubmed
17952634	Pubmed
16827801	Pubmed
16520407	Pubmed
15908023	Pubmed
15638741	Pubmed
11306811	Pubmed
10642323	Pubmed
8040284	Pubmed
2703483	Pubmed
3555489	Pubmed
18195168	Pubmed
17945186	Pubmed
16491099	Pubmed
17519555	Pubmed
16537183	Pubmed
15682487	Pubmed
12110004	Pubmed
10978538	Pubmed
8613196	Pubmed
7943354	Pubmed
16951045	Pubmed
12697665	Pubmed
11914741	Pubmed
8177321	Pubmed
12445686	Pubmed
16741924	Pubmed
8163524	Pubmed
17446166	Pubmed
17318081	Pubmed
16079150	Pubmed
17417603	Pubmed
17088251	Pubmed
17965278	Pubmed
17975113	Pubmed
16690621	Pubmed
2222858	Pubmed
16515556	Pubmed
15985312	Pubmed
15955058	Pubmed
12911328	Pubmed
12586639	Pubmed
12192079	Pubmed
11177571	Pubmed
8702598	Pubmed
8216239	Pubmed
2261476	Pubmed
18026570	Pubmed
17496218	Pubmed
15951342	Pubmed
15687842	Pubmed
15060019	Pubmed
12909716	Pubmed
2455902	Pubmed
17242304	Pubmed
17169335	Pubmed
16619500	Pubmed
9765589	Pubmed
1673322	Pubmed
2567164	Pubmed
2564389	Pubmed
17726028	Pubmed
17526654	Pubmed
17615156	Pubmed
17347452	Pubmed
23162738	Pubmed
18172037	Pubmed
17993459	Pubmed
17065107	Pubmed
16763092	Pubmed
15782111	Pubmed
8996238	Pubmed
1988052	Pubmed
17723265	Pubmed
17251057	Pubmed
17041759	Pubmed
16420524	Pubmed
15906313	Pubmed
11489215	Pubmed
11390024	Pubmed
11282364	Pubmed
7559527	Pubmed
8119954	Pubmed
17515837	Pubmed
17982005	Pubmed
17251186	Pubmed
18250366	Pubmed
17977916	Pubmed
17532087	Pubmed
17308000	Pubmed
14754895	Pubmed
14647384	Pubmed
12874086	Pubmed
12623933	Pubmed
12075344	Pubmed
17188389	Pubmed
17644565	Pubmed
16877402	Pubmed
17882707	Pubmed
12609826	Pubmed
11248043	Pubmed
7592986	Pubmed
7836437	Pubmed
18250367	Pubmed
17989112	Pubmed
18205093	Pubmed
3745432	Pubmed
3947969	Pubmed
3753601	Pubmed
4030046	Pubmed
4344907	Pubmed
18158356	Pubmed
18158338	Pubmed
18086951	Pubmed
17950540	Pubmed
18028779	Pubmed
7490161	Pubmed
7599191	Pubmed
7713098	Pubmed
8227011	Pubmed
8227010	Pubmed
18079408	Pubmed
16690960	Pubmed
16460729	Pubmed
15869764	Pubmed
15723097	Pubmed
12900423	Pubmed
12588765	Pubmed
7487912	Pubmed
17978575	Pubmed
17964599	Pubmed
17960568	Pubmed
16006144	Pubmed
15037605	Pubmed
9779826	Pubmed
18205095	Pubmed
17873013	Pubmed
17891894	Pubmed
1599457	Pubmed
1533121	Pubmed
1544458	Pubmed
2043116	Pubmed
2041570	Pubmed
10066767	Pubmed
17559804	Pubmed
18202178	Pubmed
17670863	Pubmed
17440033	Pubmed
16672920	Pubmed
16467505	Pubmed
7629399	Pubmed
2852145	Pubmed
3047403	Pubmed
3287330	Pubmed
3039496	Pubmed
15542607	Pubmed
15816852	Pubmed
10051439	Pubmed
12220646	Pubmed
16260603	Pubmed
