Label	Type	ID	Database	Comment
ATP	Metabolite	1927-31-7	CAS	
ADH5	GeneProduct	S000000349	SGD	
PFK1	GeneProduct	S000003472	SGD	
NADH	Metabolite	53-84-9	CAS	
CDC19	GeneProduct	S000000036	SGD	
NADH	Metabolite	53-84-9	CAS	
PYK2	GeneProduct	S000005874	SGD	
glucose-6-phosphate	Metabolite	59-56-3	CAS	
PDC6	GeneProduct	S000003319	SGD	
PGK1	GeneProduct	S000000605	SGD	
TDH3	GeneProduct	S000003424	SGD	
PFK2	GeneProduct	S000004818	SGD	
glyceraldehyde-3-phosphate	Metabolite	591-57-1	CAS	
ADP	Metabolite	58-64-0	CAS	
TDH2	GeneProduct	S000003769	SGD	
GPM3	GeneProduct	S000005417	SGD	
GPM1	GeneProduct	S000001635	SGD	
ALD4	GeneProduct	S000005901	SGD	
NADPH	Metabolite	53-57-6	CAS	
ethanol	Metabolite	64-17-5	CAS	
phosphate	Metabolite	14265-44-2	CAS	
ADH2	GeneProduct	S000004918	SGD	
acetaldehyde	Metabolite	75-07-0	CAS	
ATP	Metabolite	1927-31-7	CAS	
ADH1	GeneProduct	S000005446	SGD	
ADH3	GeneProduct	S000004688	SGD	
PGI1	GeneProduct	S000000400	SGD	
ENO2	GeneProduct	S000001217	SGD	
NADH	Metabolite	53-84-9	CAS	
ADP	Metabolite	58-64-0	CAS	
acetate	Metabolite	64-19-7	CAS	
ADH4	GeneProduct	S000003225	SGD	
HXK2	GeneProduct	S000003222	SGD	
ATP	Metabolite	1927-31-7	CAS	
ADP	Metabolite	58-64-0	CAS	
YMR323W	GeneProduct	S000004942	SGD	
ALD5	GeneProduct	S000000875	SGD	
FBA1	GeneProduct	S000001543	SGD	
PDC1	GeneProduct	S000004034	SGD	
ADP	Metabolite	58-64-0	CAS	
TDH1	GeneProduct	S000003588	SGD	
ATP	Metabolite	1927-31-7	CAS	
3-phospho-D-glyceroyl-phosphate	Metabolite	38168-82-0	CAS	
ERR1	GeneProduct	S000005920	SGD	
fructose-6-phosphate	Metabolite	643-13-0	CAS	
ALD6	GeneProduct	S000005982	SGD	
PDC5	GeneProduct	S000004124	SGD	
ERR2	GeneProduct	S000006202	SGD	
ENO1	GeneProduct	S000003486	SGD	
