Label	Type	ID	Database	Comment
O2	Metabolite	CHEBI:15379	ChEBI	
PXL	Metabolite	CHEBI:17310	ChEBI	
H2O	Metabolite	CHEBI:15377	ChEBI	
H2O2	Metabolite	CHEBI:16240	ChEBI	
GRMZM2G069758	Protein	GRMZM2G069758	MaizeGDB	
PDXP	Metabolite	CHEBI:28803	ChEBI	
PXLP	Metabolite	CHEBI:18405	ChEBI	
ATP	Metabolite	CHEBI:15422	ChEBI	
NH3	Metabolite	CHEBI:16134	ChEBI	
PXAP	Metabolite	CHEBI:18335	ChEBI	
H2O2	Metabolite	CHEBI:16240	ChEBI	
PXA	Metabolite	CHEBI:16410	ChEBI	
pyridoxal
5'-phosphate
synthase	Protein	5404681	Reactome	
O2	Metabolite	CHEBI:15379	ChEBI	
ADP	Metabolite	CHEBI:16761	ChEBI	
