Label	Type	ID	Database	Comment
ATP5A1	GeneProduct	374159	Entrez Gene	
NDUFB6	GeneProduct	416391	Entrez Gene	
ATP5I	GeneProduct	769146	Entrez Gene	
SLC25A5	GeneProduct	772225	Entrez Gene	
COX15	GeneProduct	423830	Entrez Gene	
COX6B1	GeneProduct			
LOC770937	GeneProduct	770937	Entrez Gene	
COX6C	GeneProduct	420243	Entrez Gene	
ATP5J2	GeneProduct	416495	Entrez Gene	
ATP5O	GeneProduct	418508	Entrez Gene	
O2	Metabolite	HMDB0001377	HMDB	
ATP5G2	GeneProduct			
H+	Metabolite	HMDB0001362	HMDB	
NDUFC1	GeneProduct			
ATP5B	GeneProduct	426673	Entrez Gene	
NDUFA8	GeneProduct	417112	Entrez Gene	
ATP	Metabolite	C00002	KEGG Compound	
Succinate	Metabolite	C00042	KEGG Compound	
UQCR	GeneProduct	770135	Entrez Gene	
NDUFA3	GeneProduct			
SLC25A14	GeneProduct	422141	Entrez Gene	
NDUFV2	GeneProduct	426488	Entrez Gene	
NDUFA6	GeneProduct	427897	Entrez Gene	
COX2	GeneProduct	3562239	Entrez Gene	
NDUFB9	GeneProduct	420337	Entrez Gene	
NDUFS6	GeneProduct	420976	Entrez Gene	
UQCRFSL1	GeneProduct	415752	Entrez Gene	
NDUFA2	GeneProduct	768860	Entrez Gene	
ND4L	GeneProduct	3562246	Entrez Gene	
e-	Metabolite	C05359	KEGG Compound	
ATP8	GeneProduct	3562237	Entrez Gene	
NDUFS5	GeneProduct	771510	Entrez Gene	
COX5A	GeneProduct	769735	Entrez Gene	
UQCRC2	GeneProduct	427009	Entrez Gene	
COX11	GeneProduct	770638	Entrez Gene	
ATP5J	GeneProduct	418477	Entrez Gene	
SDHB	GeneProduct	770063	Entrez Gene	
COX1	GeneProduct	3562238	Entrez Gene	
FADH2	Metabolite	C01352	KEGG Compound	
COX7A2L	GeneProduct	421392	Entrez Gene	
NDUFS7	GeneProduct			
COX6A1	GeneProduct	416978	Entrez Gene	
SLC25A27	GeneProduct			
NDUFS4	GeneProduct	374122	Entrez Gene	
COX7A1	GeneProduct			
COX4I1	GeneProduct	415826	Entrez Gene	
H+	Metabolite	HMDB0001362	HMDB	
COX7A3	GeneProduct			
H+	Metabolite	HMDB0001362	HMDB	
SLC25A6	GeneProduct	374072	Entrez Gene	
ATP5L	GeneProduct	770052	Entrez Gene	
NDUFB1	GeneProduct	423415	Entrez Gene	
UCP3	GeneProduct	373896	Entrez Gene	
UQCRH	GeneProduct	771939	Entrez Gene	
FAD	Metabolite	C00016	KEGG Compound	
NDUFA9	GeneProduct	419039	Entrez Gene	
H+	Metabolite	HMDB0001362	HMDB	
NDUFB3	GeneProduct	424078	Entrez Gene	
ATP5G1	GeneProduct	419992	Entrez Gene	
NDUFB4	GeneProduct	769954	Entrez Gene	
COX7A2	GeneProduct	772260	Entrez Gene	
H+	Metabolite	HMDB0001362	HMDB	
ND6	GeneProduct	3562248	Entrez Gene	
ATP5S	GeneProduct	423574	Entrez Gene	
NAD+	Metabolite	C00003	KEGG Compound	
SDHA	GeneProduct	395758	Entrez Gene	
H2O	Metabolite	HMDB0002111	HMDB	
ND2	GeneProduct	3562243	Entrez Gene	
NDUFAB1	GeneProduct	416571	Entrez Gene	
COX7B	GeneProduct			
UQCRQ	GeneProduct	416336	Entrez Gene	
SLC25A4	GeneProduct	422546	Entrez Gene	
UQCRB	GeneProduct	420236	Entrez Gene	
ND5	GeneProduct	3562247	Entrez Gene	
NDUFA12	GeneProduct	417907	Entrez Gene	
SCO1	GeneProduct	426060	Entrez Gene	
SDHD	GeneProduct	419793	Entrez Gene	
ATPIF1	GeneProduct			
NDUFB7	GeneProduct			
NDUFA1	GeneProduct	772150	Entrez Gene	
UQCRC1	GeneProduct	416013	Entrez Gene	
NDUFB5	GeneProduct	424978	Entrez Gene	
COX5B	GeneProduct			
H+	Metabolite	HMDB0001362	HMDB	
ATP6	GeneProduct	3562236	Entrez Gene	
COX3	GeneProduct	3562240	Entrez Gene	
NDUFS3	GeneProduct	423179	Entrez Gene	
COX8A	GeneProduct	775974	Entrez Gene	
ND1	GeneProduct	3562242	Entrez Gene	
NDUFV1	GeneProduct	430210	Entrez Gene	
SDHC	GeneProduct			
ATP5G3	GeneProduct	424142	Entrez Gene	
COX6A2	GeneProduct			
H+	Metabolite	HMDB0001362	HMDB	
SURF1	GeneProduct	417157	Entrez Gene	
NDUFS1	GeneProduct	424102	Entrez Gene	
NDUFA7	GeneProduct	420065	Entrez Gene	
ND4	GeneProduct	3562245	Entrez Gene	
ATP5H	GeneProduct	422115	Entrez Gene	
NDUFC2	GeneProduct	404751	Entrez Gene	
NDUFB2	GeneProduct	418118	Entrez Gene	
NDUFS2	GeneProduct			
COX7C	GeneProduct	431629	Entrez Gene	
ATP5D	GeneProduct			
NDUFB10	GeneProduct	416543	Entrez Gene	
LOC770190	GeneProduct	770190	Entrez Gene	
NDUFA4	GeneProduct	772135	Entrez Gene	
e-	Metabolite	C05359	KEGG Compound	
NDUFA5	GeneProduct	417753	Entrez Gene	
ATP5F1	GeneProduct	419866	Entrez Gene	
TCA Cycle	Pathway	WP770	WikiPathways	
ATP5E	GeneProduct			
ATP5C1	GeneProduct	419108	Entrez Gene	
NDUFV3	GeneProduct	418541	Entrez Gene	
e-	Metabolite	C05359	KEGG Compound	
NDUFA10	GeneProduct	424032	Entrez Gene	
Cytochrome C	Metabolite	C00524	KEGG Compound	
UCP2	GeneProduct			
ND3	GeneProduct	3562244	Entrez Gene	
NDUFS8	GeneProduct	769492	Entrez Gene	
NDUFB8	GeneProduct	423763	Entrez Gene	
CYTB	GeneProduct	3562241	Entrez Gene	
UCP1	GeneProduct			
NADH	Metabolite	C00004	KEGG Compound	
Ubiquinone	Metabolite			
