Label	Type	ID	Database	Comment
CAT5	GeneProduct	S000005651	SGD	
ERG20	GeneProduct	S000003703	SGD	
ERG20	GeneProduct	S000003703	SGD	
pyrophosphate	Metabolite	2466-09-3	CAS	
pyrophosphate	Metabolite	2466-09-3	CAS	
COQ5	GeneProduct	S000004578	SGD	
Coenzyme A	Metabolite	64885-97-8	CAS	
pyrophosphate	Metabolite	2466-09-3	CAS	
BTS1	GeneProduct	S000005990	SGD	
pyrophosphate	Metabolite	2466-09-3	CAS	
chorismate	Metabolite	CHEBI:17333	ChEBI	
COQ3	GeneProduct	S000005456	SGD	
COQ2	GeneProduct	S000005324	SGD	
pyrophosphate	Metabolite	2466-09-3	CAS	
L-tyrosine	Metabolite	60-18-4	CAS	
acetyl-CoA	Metabolite	72-89-9	CAS	
COQ6	GeneProduct	S000003487	SGD	
ATP	Metabolite	1927-31-7	CAS	
COQ1	GeneProduct	S000000207	SGD	
Coenzyme A	Metabolite	64885-97-8	CAS	
pyrophosphate	Metabolite	2466-09-3	CAS	
COQ3	GeneProduct	S000005456	SGD	
NADH	Metabolite	53-84-9	CAS	
geranylgeranyl-PP	Metabolite	6699-20-3	CAS	
