Label	Type	ID	Database	Comment
Ppp3ca	GeneProduct	19055	Entrez Gene	
Slc4a1	GeneProduct	20533	Entrez Gene	
Pik3cd	GeneProduct	18707	Entrez Gene	
Tcf3	GeneProduct	21423	Entrez Gene	
Enah	GeneProduct	13800	Entrez Gene	
Myoc	GeneProduct	17926	Entrez Gene	
Cttn	GeneProduct	13043	Entrez Gene	
Wif1	GeneProduct	24117	Entrez Gene	
Rxra	GeneProduct	20181	Entrez Gene	
Smad3	GeneProduct	17127	Entrez Gene	
Zhx2	GeneProduct	387609	Entrez Gene	
Tenc1	GeneProduct	209039	Entrez Gene	
Tsg101	GeneProduct	22088	Entrez Gene	
Mpz	GeneProduct	17528	Entrez Gene	
Arpc5	GeneProduct	67771	Entrez Gene	
Tln1	GeneProduct	21894	Entrez Gene	
Coq6	GeneProduct	217707	Entrez Gene	
Cyr61	GeneProduct	16007	Entrez Gene	
Trpc6	GeneProduct	22068	Entrez Gene	
Smad6	GeneProduct	17130	Entrez Gene	
Ctsl	GeneProduct	13039	Entrez Gene	
Agtr1b	GeneProduct	11608	Entrez Gene	
F3	GeneProduct	14066	Entrez Gene	
Krt7	GeneProduct	110310	Entrez Gene	
Insr	GeneProduct	16337	Entrez Gene	
Rab4b	GeneProduct	19342	Entrez Gene	
Iqgap1	GeneProduct	29875	Entrez Gene	
Hspg2	GeneProduct	15530	Entrez Gene	
Itgb5	GeneProduct	16419	Entrez Gene	
Crk	GeneProduct	12928	Entrez Gene	
Rabgef1	GeneProduct	56715	Entrez Gene	
Foxc2	GeneProduct	14234	Entrez Gene	
Efnb1	GeneProduct	13641	Entrez Gene	
Bcar1	GeneProduct	12927	Entrez Gene	
Gne	GeneProduct	50798	Entrez Gene	
Mapk8ip3	GeneProduct	30957	Entrez Gene	
Inadl	GeneProduct	12695	Entrez Gene	
Bmp7	GeneProduct	12162	Entrez Gene	
Pdss2	GeneProduct	71365	Entrez Gene	
Pxn	GeneProduct	19303	Entrez Gene	
Mafb	GeneProduct	16658	Entrez Gene	
Psenen	GeneProduct	66340	Entrez Gene	
Vcl	GeneProduct	22330	Entrez Gene	
Sulf1	GeneProduct	240725	Entrez Gene	
Cxadr	GeneProduct	13052	Entrez Gene	
Igfbp7	GeneProduct	29817	Entrez Gene	
Robo1	GeneProduct	19876	Entrez Gene	
Utrn	GeneProduct	22288	Entrez Gene	
Ralgps1	GeneProduct	241308	Entrez Gene	
Nes	GeneProduct	18008	Entrez Gene	
Cfh	GeneProduct	12628	Entrez Gene	
Uchl1	GeneProduct	22223	Entrez Gene	
Adam10	GeneProduct	11487	Entrez Gene	
Lims1	GeneProduct	110829	Entrez Gene	
Tln2	GeneProduct	70549	Entrez Gene	
Angptl2	GeneProduct	26360	Entrez Gene	
Cux1	GeneProduct	13047	Entrez Gene	
Rab4a	GeneProduct	19341	Entrez Gene	
Ctgf	GeneProduct	14219	Entrez Gene	
Notch4	GeneProduct	18132	Entrez Gene	
Cd151	GeneProduct	12476	Entrez Gene	
F11r	GeneProduct	16456	Entrez Gene	
Vangl2	GeneProduct	93840	Entrez Gene	
Ocln	GeneProduct	18260	Entrez Gene	
Itga6	GeneProduct	16403	Entrez Gene	
Rarb	GeneProduct	218772	Entrez Gene	
Fcgrt	GeneProduct	14132	Entrez Gene	
Spna2	GeneProduct	20740	Entrez Gene	
Epas1	GeneProduct	13819	Entrez Gene	
Ptgs2	GeneProduct	19225	Entrez Gene	
Bcam	GeneProduct	57278	Entrez Gene	
Ctnna1	GeneProduct	12385	Entrez Gene	
Pla2r1	GeneProduct	18779	Entrez Gene	
Dbn1	GeneProduct	56320	Entrez Gene	
Kcnma1	GeneProduct	16531	Entrez Gene	
Nid1	GeneProduct	18073	Entrez Gene	
Fras1	GeneProduct	231470	Entrez Gene	
Nid2	GeneProduct	18074	Entrez Gene	
Prkce	GeneProduct	18754	Entrez Gene	
Rab3a	GeneProduct	19339	Entrez Gene	
Notch2	GeneProduct	18129	Entrez Gene	
Cdh3	GeneProduct	12560	Entrez Gene	
Arpc4	GeneProduct	68089	Entrez Gene	
Plce1	GeneProduct	74055	Entrez Gene	
Igf1r	GeneProduct	16001	Entrez Gene	
Ptger4	GeneProduct	19219	Entrez Gene	
Crim1	GeneProduct	50766	Entrez Gene	
Adcy1	GeneProduct	432530	Entrez Gene	
Sh3kbp1	GeneProduct	58194	Entrez Gene	
Itgb1	GeneProduct	16412	Entrez Gene	
Actb	GeneProduct	11461	Entrez Gene	
Agrn	GeneProduct	11603	Entrez Gene	
Paxip1	GeneProduct	55982	Entrez Gene	
Clic5	GeneProduct	224796	Entrez Gene	
Vhl	GeneProduct	22346	Entrez Gene	
Shc1	GeneProduct	20416	Entrez Gene	
Csk	GeneProduct	12988	Entrez Gene	
Inf2	GeneProduct	70435	Entrez Gene	
Stra13	GeneProduct	20892	Entrez Gene	
Prkaca	GeneProduct	18747	Entrez Gene	
Pik3c2a	GeneProduct	18704	Entrez Gene	
Itga3	GeneProduct	16400	Entrez Gene	
Col4a4	GeneProduct	12829	Entrez Gene	
Dnm2	GeneProduct	13430	Entrez Gene	
Kank2	GeneProduct	235041	Entrez Gene	
Cfl1	GeneProduct	ENSMUSG00000056201	Ensembl	
Vangl1	GeneProduct	229658	Entrez Gene	
Wasl	GeneProduct	73178	Entrez Gene	
Cbl	GeneProduct	12402	Entrez Gene	
Slc9a3r2	GeneProduct	65962	Entrez Gene	
Arpc2	GeneProduct	76709	Entrez Gene	
Pak1	GeneProduct	18479	Entrez Gene	
Rbpj	GeneProduct	19664	Entrez Gene	
Smurf1	GeneProduct	75788	Entrez Gene	
Vegfa	GeneProduct	22339	Entrez Gene	
Capza2	GeneProduct	12343	Entrez Gene	
Grlf1	GeneProduct	232906	Entrez Gene	
Ywhab	GeneProduct	54401	Entrez Gene	
Angpt1	GeneProduct	11600	Entrez Gene	
