ID	Database
18928408	Pubmed
11390368	Pubmed
9023774	Pubmed
11157473	Pubmed
18079694	Pubmed
10329646	Pubmed
14761955	Pubmed
17349957	Pubmed
12796777	Pubmed
12791997	Pubmed
9430721	Pubmed
17036048	Pubmed
2182768	Pubmed
450099	Pubmed
12514169	Pubmed
12527755	Pubmed
11498534	Pubmed
12615073	Pubmed
12917691	Pubmed
15620648	Pubmed
29712950	Pubmed
17435760	Pubmed
20023662	Pubmed
14595024	Pubmed
17418785	Pubmed
17562858	Pubmed
20303873	Pubmed
26549800	Pubmed
19570822	Pubmed
9744859	Pubmed
17496917	Pubmed
11460167	Pubmed
11786556	Pubmed
17703304	Pubmed
19158676	Pubmed
19158675	Pubmed
19158679	Pubmed
19535145	Pubmed
11967258	Pubmed
12191486	Pubmed
17603038	Pubmed
11087742	Pubmed
10224040	Pubmed
17303577	Pubmed
14633987	Pubmed
10702308	Pubmed
15327770	Pubmed
10893415	Pubmed
9751060	Pubmed
18604209	Pubmed
18577586	Pubmed
19258328	Pubmed
20434986	Pubmed
14670075	Pubmed
19826485	Pubmed
17135271	Pubmed
