Label	Type	ID	Database	Comment
Plau	GeneProduct	25619	Entrez Gene	uPA
Col3a1	GeneProduct	84032	Entrez Gene	
Tnfsf15	GeneProduct	252878	Entrez Gene	
Cdkn2a	GeneProduct	25163	Entrez Gene	INK4a
Hras	GeneProduct	293621	Entrez Gene	H-RAS
Ing2	GeneProduct	290744	Entrez Gene	
Cdc25b	GeneProduct	171103	Entrez Gene	
Mdm2	GeneProduct	314856	Entrez Gene	
Slc39a2	GeneProduct	305846	Entrez Gene	
Mtor	GeneProduct	56718	Entrez Gene	mTOR
Col1a1	GeneProduct	29393	Entrez Gene	
Tp53	GeneProduct	24842	Entrez Gene	
Braf	GeneProduct	114486	Entrez Gene	
Map2k1	GeneProduct	170851	Entrez Gene	MEK
Tgfb1	GeneProduct	59086	Entrez Gene	
Ing1	GeneProduct	306626	Entrez Gene	
Ifnb1	GeneProduct	24481	Entrez Gene	
Sqstm1	GeneProduct	113894	Entrez Gene	
Cdk6	GeneProduct	114483	Entrez Gene	ARF
Raf1	GeneProduct	24703	Entrez Gene	
Igf1r	GeneProduct	25718	Entrez Gene	
Cdk4	GeneProduct	94201	Entrez Gene	ARF
Rb1	GeneProduct	24708	Entrez Gene	
Src	GeneProduct	83805	Entrez Gene	
Smad4	GeneProduct	50554	Entrez Gene	
Ccl3	GeneProduct	25542	Entrez Gene	
Igfbp7	GeneProduct	289560	Entrez Gene	ARF
Becn1	GeneProduct	114558	Entrez Gene	
Hmga1	GeneProduct	117062	Entrez Gene	
Inhba	GeneProduct	29200	Entrez Gene	
Cdkn2a	GeneProduct	25163	Entrez Gene	P16/INK4a
Slc39a3	GeneProduct	314637	Entrez Gene	
Il6	GeneProduct	24498	Entrez Gene	
Rsl1d1	GeneProduct	302898	Entrez Gene	
Cdkn1a	GeneProduct	114851	Entrez Gene	P21/CIP1/WAF1
THBS1	GeneProduct	445442	Entrez Gene	
Cdkn2a	GeneProduct	25163	Entrez Gene	
Atg12	GeneProduct	361321	Entrez Gene	
Atg10	GeneProduct	688555	Entrez Gene	
IL8	GeneProduct			
IL3	GeneProduct	24495	Entrez Gene	
Map2k3	GeneProduct	303200	Entrez Gene	MKK3
Akt1	GeneProduct	ENSRNOG00000028629	Ensembl	
Smad3	GeneProduct	25631	Entrez Gene	
Sh3glb1	GeneProduct	292156	Entrez Gene	BIF1
Gsn	GeneProduct	296654	Entrez Gene	
Il6st	GeneProduct	25205	Entrez Gene	
ISRE	GeneProduct			DNA regulatory element
Atg7	GeneProduct	312647	Entrez Gene	
ATG5	GeneProduct	365601	Entrez Gene	
Mapk14	GeneProduct	81649	Entrez Gene	P38a
Plat	GeneProduct	25692	Entrez Gene	tPA
Atg14	GeneProduct	ENSRNOG00000011873	Ensembl	
Mll1	GeneProduct	315606	Entrez Gene	ARF
Irf5	GeneProduct	296953	Entrez Gene	
Ins1	GeneProduct	ENSRNOG00000012052	Ensembl	BRAK
Slc39a1	GeneProduct	361986	Entrez Gene	
Mmp14	GeneProduct	81707	Entrez Gene	
Cdk2	GeneProduct	362817	Entrez Gene	ARF
Igf1	GeneProduct	24482	Entrez Gene	
Gabarapl1	GeneProduct	689161	Entrez Gene	
Irf1	GeneProduct	24508	Entrez Gene	
Cdkn1a	GeneProduct	114851	Entrez Gene	
Bcl2	GeneProduct	24224	Entrez Gene	
Becn1	GeneProduct	ENSRNOG00000020513	Ensembl	
Il6ra	GeneProduct	24499	Entrez Gene	
Serpinb2	GeneProduct	60325	Entrez Gene	
Cdkn1a	GeneProduct	114851	Entrez Gene	
Il24	GeneProduct	170819	Entrez Gene	
Rnasel	GeneProduct	359726	Entrez Gene	
Cxcl2	GeneProduct	ENSRNOG00000002792	Ensembl	
Gadd45a	GeneProduct	ENSRNOG00000005615	Ensembl	
Uvrag	GeneProduct	308846	Entrez Gene	
PI3K?	GeneProduct			
Atg4b	GeneProduct	ENSRNOG00000018403	Ensembl	
Fn1	GeneProduct	25661	Entrez Gene	
Ambra1	GeneProduct	59319	Entrez Gene	
Col10a1	GeneProduct	25681	Entrez Gene	MKK3
Jun	GeneProduct	24516	Entrez Gene	P21/CIP1/WAF1
Sparc	GeneProduct	24791	Entrez Gene	
Gabarap	GeneProduct	58974	Entrez Gene	
Cdkn2a	GeneProduct	25163	Entrez Gene	ARF
Cebpb	GeneProduct	24253	Entrez Gene	
Serpine1	GeneProduct	24617	Entrez Gene	PAI1
Map1lc3b	GeneProduct	64862	Entrez Gene	
Pcna	GeneProduct	25737	Entrez Gene	
Ifng	GeneProduct	25712	Entrez Gene	
Lamp2	GeneProduct	24944	Entrez Gene	
?	GeneProduct			
IFI16	GeneProduct			
E2f1	GeneProduct	399489	Entrez Gene	
Gsk3b	GeneProduct	84027	Entrez Gene	
GAS	GeneProduct			DNA regulatory element
Cdkn1b	GeneProduct	83571	Entrez Gene	P27/KIP
Mmp3	GeneProduct	171045	Entrez Gene	
Map2k3	GeneProduct	303200	Entrez Gene	MEK6
Lamp1	GeneProduct	25328	Entrez Gene	
Gabarapl2	GeneProduct	64670	Entrez Gene	
Pten	GeneProduct	50557	Entrez Gene	
Il1b	GeneProduct	24494	Entrez Gene	
Cxcl14	GeneProduct	306748	Entrez Gene	BRAK
Ulk1	GeneProduct	360827	Entrez Gene	ATG1
Vtn	GeneProduct	29169	Entrez Gene	
bcl-xl	GeneProduct			
Bmi1	GeneProduct	307151	Entrez Gene	ARF
Cxcl3	GeneProduct	171551	Entrez Gene	GROa
Cdk2	GeneProduct	362817	Entrez Gene	ARF
Igfbp3	GeneProduct	24484	Entrez Gene	
Slc39a4	GeneProduct	300051	Entrez Gene	
Bmp2	GeneProduct	29373	Entrez Gene	tPA
Map1lc3a	GeneProduct	362245	Entrez Gene	
Cdkn1a	GeneProduct	114851	Entrez Gene	P21/CIP1/WAF1
Irf7	GeneProduct	293624	Entrez Gene	
Cdkn1a	GeneProduct	114851	Entrez Gene	P21/CIP1/WAF1
ATG16	GeneProduct			
Atg7	GeneProduct	312647	Entrez Gene	
Igfbp5	GeneProduct	25285	Entrez Gene	
Il1a	GeneProduct	24493	Entrez Gene	
Cd44	GeneProduct	25406	Entrez Gene	
Atg3	GeneProduct	171415	Entrez Gene	
Mapk1	GeneProduct	116590	Entrez Gene	ERK
Creg1	GeneProduct	289185	Entrez Gene	
